chr,start,end,gene
chr3,142242962,142243090,ATR
chr3,142253881,142253951,ATR
chr3,142253949,142254053,ATR
chr3,142254936,142255036,ATR
chr3,142254985,142255095,ATR
chr3,142257260,142257340,ATR
chr3,142257340,142257455,ATR
chr3,142257421,142257519,ATR
chr3,142259680,142259750,ATR
chr3,142259750,142259870,ATR
chr3,142259824,142259899,ATR
chr3,142261501,142261582,ATR
chr3,142261511,142261627,ATR
chr3,142266491,142266572,ATR
chr3,142266572,142266660,ATR
chr3,142266630,142266706,ATR
chr3,142266704,142266823,ATR
chr3,142268262,142268337,ATR
chr3,142268337,142268449,ATR
chr3,142268446,142268511,ATR
chr3,142268480,142268574,ATR
chr3,142268965,142269040,ATR
chr3,142269040,142269111,ATR
chr3,142269074,142269149,ATR
chr3,142272063,142272186,ATR
chr3,142272160,142272232,ATR
chr3,142272230,142272314,ATR
chr3,142272474,142272595,ATR
chr3,142272584,142272676,ATR
chr3,142272671,142272773,ATR
chr3,142272756,142272851,ATR
chr3,142272824,142272917,ATR
chr3,142274686,142274806,ATR
chr3,142274800,142274878,ATR
chr3,142274847,142274962,ATR
chr3,142274941,142275037,ATR
chr3,142275186,142275277,ATR
chr3,142275259,142275395,ATR
chr3,142277458,142277536,ATR
chr3,142277471,142277601,ATR
chr3,142277605,142277710,ATR
chr3,142278086,142278195,ATR
chr3,142278177,142278246,ATR
chr3,142278243,142278354,ATR
chr3,142279034,142279129,ATR
chr3,142279107,142279176,ATR
chr3,142279167,142279272,ATR
chr3,142280078,142280161,ATR
chr3,142280139,142280216,ATR
chr3,142280204,142280322,ATR
chr3,142281062,142281128,ATR
chr3,142281083,142281203,ATR
chr3,142281193,142281264,ATR
chr3,142281241,142281363,ATR
chr3,142281351,142281457,ATR
chr3,142281409,142281535,ATR
chr3,142281533,142281645,ATR
chr3,142281576,142281703,ATR
chr3,142281690,142281759,ATR
chr3,142281752,142281860,ATR
chr3,142281851,142281920,ATR
chr3,142281905,142282006,ATR
chr3,142284940,142285010,ATR
chr3,142284959,142285076,ATR
chr3,142285062,142285145,ATR
chr3,142286832,142286947,ATR
chr3,142286917,142287013,ATR
chr3,142297462,142297561,ATR
chr3,178916548,178916627,PIK3CA
chr3,178916844,178916946,PIK3CA
chr3,178916935,178917035,PIK3CA
chr3,178917416,178917537,PIK3CA
chr3,178921450,178921571,PIK3CA
chr3,178927933,178928022,PIK3CA
chr3,178927991,178928093,PIK3CA
chr3,178936052,178936179,PIK3CA
chr3,178936969,178937079,PIK3CA
chr3,178938835,178938960,PIK3CA
chr3,178951990,178952114,PIK3CA
chr4,1795640,1795780,FGFR3
chr4,1801361,1801492,FGFR3
chr4,1803463,1803603,FGFR3
chr4,1803471,1803608,FGFR3
chr4,1805474,1805610,FGFR3
chr4,1806084,1806217,FGFR3
chr4,1806461,1806599,FGFR3
chr4,1807297,1807386,FGFR3
chr4,1807840,1807929,FGFR3
chr4,1808001,1808095,FGFR3
chr4,1808261,1808399,FGFR3
chr4,55141006,55141128,PDGFRA
chr4,55141128,55141200,PDGFRA
chr4,55143546,55143656,PDGFRA
chr4,55143624,55143700,PDGFRA
chr4,55144045,55144181,PDGFRA
chr4,55144521,55144648,PDGFRA
chr4,55144613,55144688,PDGFRA
chr4,55151472,55151541,PDGFRA
chr4,55151540,55151664,PDGFRA
chr4,55152005,55152130,PDGFRA
chr4,55153580,55153687,PDGFRA
chr4,55153652,55153728,PDGFRA
chr4,55154919,55155004,PDGFRA
chr4,55154967,55155093,PDGFRA
chr4,55155166,55155296,PDGFRA
chr4,55589727,55589851,KIT
chr4,55592135,55592254,KIT
chr4,55593391,55593513,KIT
chr4,55593534,55593606,KIT
chr4,55593581,55593700,KIT
chr4,55593682,55593753,KIT
chr4,55593979,55594096,KIT
chr4,55594144,55594218,KIT
chr4,55594181,55594300,KIT
chr4,55595497,55595605,KIT
chr4,55595596,55595664,KIT
chr4,55597488,55597592,KIT
chr4,55597983,55598078,KIT
chr4,55598047,55598167,KIT
chr4,55599233,55599357,KIT
chr4,55602626,55602697,KIT
chr4,55602664,55602775,KIT
chr4,55602871,55603000,KIT
chr4,55603337,55603448,KIT
chr4,55955797,55955918,KDR
chr4,55956118,55956238,KDR
chr4,55964819,55964941,KDR
chr4,55972822,55972946,KDR
chr4,153243998,153244112,FBXW7
chr4,153244096,153244196,FBXW7
chr4,153244185,153244295,FBXW7
chr4,153244289,153244409,FBXW7
chr4,153245326,153245417,FBXW7
chr4,153245410,153245492,FBXW7
chr4,153245483,153245578,FBXW7
chr4,153247142,153247238,FBXW7
chr4,153247277,153247369,FBXW7
chr4,153249355,153249477,FBXW7
chr4,153249440,153249533,FBXW7
chr4,153249528,153249646,FBXW7
chr4,153250781,153250851,FBXW7
chr4,153250852,153250926,FBXW7
chr4,153250905,153250992,FBXW7
chr4,153251854,153251941,FBXW7
chr4,153251930,153252027,FBXW7
chr4,153253720,153253839,FBXW7
chr4,153253820,153253942,FBXW7
chr4,153258942,153259051,FBXW7
chr4,153268073,153268196,FBXW7
chr4,153268191,153268306,FBXW7
chr4,153271109,153271233,FBXW7
chr4,153271224,153271311,FBXW7
chr4,153273613,153273710,FBXW7
chr4,153273693,153273789,FBXW7
chr4,153273781,153273895,FBXW7
chr4,153303311,153303405,FBXW7
chr4,153303394,153303463,FBXW7
chr4,153303452,153303528,FBXW7
chr4,153332407,153332523,FBXW7
chr4,153332512,153332626,FBXW7
chr4,153332600,153332709,FBXW7
chr4,153332688,153332773,FBXW7
chr4,153332764,153332861,FBXW7
chr4,153332860,153332940,FBXW7
chr4,153332928,153333020,FBXW7
chr5,1253819,1253954,TERT
chr5,1255430,1255563,TERT
chr5,1264503,1264604,TERT
chr5,1268663,1268799,TERT
chr5,1278755,1278890,TERT
chr5,1280218,1280345,TERT
chr5,1282558,1282655,TERT
chr5,1293726,1293819,TERT
chr5,1294072,1294201,TERT
chr5,1294933,1295065,TERT
chr5,1295053,1295193,TERT
chr5,1295170,1295326,TERT
chr5,38942341,38942464,RICTOR
chr5,38944924,38945040,RICTOR
chr5,38947432,38947536,RICTOR
chr5,38950213,38950320,RICTOR
chr5,38952368,38952484,RICTOR
chr5,38955718,38955828,RICTOR
chr5,38959877,38959959,RICTOR
chr5,38964801,38964909,RICTOR
chr5,38975556,38975656,RICTOR
chr5,38991109,38991227,RICTOR
chr5,67522497,67522593,PIK3R1
chr5,67522582,67522674,PIK3R1
chr5,67522673,67522791,PIK3R1
chr5,67522763,67522851,PIK3R1
chr5,67569169,67569270,PIK3R1
chr5,67569228,67569321,PIK3R1
chr5,67569743,67569820,PIK3R1
chr5,67569806,67569894,PIK3R1
chr5,67575382,67575481,PIK3R1
chr5,67575470,67575571,PIK3R1
chr5,67576325,67576398,PIK3R1
chr5,67576372,67576491,PIK3R1
chr5,67576480,67576563,PIK3R1
chr5,67576728,67576839,PIK3R1
chr5,67584545,67584626,PIK3R1
chr5,67586515,67586604,PIK3R1
chr5,67586593,67586678,PIK3R1
chr5,67588061,67588160,PIK3R1
chr5,67588145,67588243,PIK3R1
chr5,67588903,67588974,PIK3R1
chr5,67588963,67589035,PIK3R1
chr5,67589094,67589201,PIK3R1
chr5,67589187,67589288,PIK3R1
chr5,67589277,67589379,PIK3R1
chr5,67589413,67589548,PIK3R1
chr5,67589555,67589656,PIK3R1
chr5,67589657,67589741,PIK3R1
chr5,67590315,67590405,PIK3R1
chr5,67590394,67590477,PIK3R1
chr5,67590466,67590558,PIK3R1
chr5,67590947,67591036,PIK3R1
chr5,67591025,67591102,PIK3R1
chr5,67591091,67591187,PIK3R1
chr5,67591238,67591329,PIK3R1
chr5,67591992,67592073,PIK3R1
chr5,67592062,67592177,PIK3R1
chr5,67593213,67593304,PIK3R1
chr5,67593293,67593373,PIK3R1
chr5,67593354,67593436,PIK3R1
chr5,131893011,131893137,RAD50
chr5,131893125,131893201,RAD50
chr5,131894951,131895058,RAD50
chr5,131911422,131911535,RAD50
chr5,131911473,131911594,RAD50
chr5,131911580,131911658,RAD50
chr5,131914902,131915028,RAD50
chr5,131915014,131915129,RAD50
chr5,131915114,131915184,RAD50
chr5,131915171,131915246,RAD50
chr5,131915548,131915676,RAD50
chr5,131915617,131915733,RAD50
chr5,131915720,131915837,RAD50
chr5,131923190,131923297,RAD50
chr5,131923286,131923397,RAD50
chr5,131923583,131923653,RAD50
chr5,131923637,131923767,RAD50
chr5,131923767,131923839,RAD50
chr5,131924340,131924467,RAD50
chr5,131924445,131924517,RAD50
chr5,131924496,131924596,RAD50
chr5,131925262,131925383,RAD50
chr5,131925345,131925468,RAD50
chr5,131925444,131925509,RAD50
chr5,131925507,131925626,RAD50
chr5,131926913,131927016,RAD50
chr5,131927012,131927081,RAD50
chr5,131927056,131927128,RAD50
chr5,131927498,131927599,RAD50
chr5,131927592,131927723,RAD50
chr5,131927685,131927752,RAD50
chr5,131930513,131930631,RAD50
chr5,131930591,131930673,RAD50
chr5,131930672,131930787,RAD50
chr5,131931225,131931343,RAD50
chr5,131931338,131931412,RAD50
chr5,131931384,131931509,RAD50
chr5,131938961,131939052,RAD50
chr5,131939020,131939090,RAD50
chr5,131939090,131939199,RAD50
chr5,131939599,131939717,RAD50
chr5,131939697,131939771,RAD50
chr5,131940436,131940523,RAD50
chr5,131940523,131940594,RAD50
chr5,131940560,131940677,RAD50
chr5,131944270,131944339,RAD50
chr5,131944332,131944457,RAD50
chr5,131944789,131944879,RAD50
chr5,131944870,131944991,RAD50
chr5,131945012,131945093,RAD50
chr5,131951670,131951786,RAD50
chr5,131951774,131951854,RAD50
chr5,131953724,131953820,RAD50
chr5,131953794,131953884,RAD50
chr5,131953883,131953992,RAD50
chr5,131972804,131972925,RAD50
chr5,131973753,131973824,RAD50
chr5,131973823,131973940,RAD50
chr5,131976307,131976434,RAD50
chr5,131976380,131976499,RAD50
chr5,131976489,131976560,RAD50
chr5,131977815,131977918,RAD50
chr5,131977894,131977976,RAD50
chr5,131977959,131978069,RAD50
chr5,149433533,149433662,CSF1R
chr5,149447744,149447854,CSF1R
chr5,149452991,149453117,CSF1R
chr5,149495234,149495370,PDGFRB
chr5,149497292,149497426,PDGFRB
chr5,149499533,149499632,PDGFRB
chr5,149501441,149501529,PDGFRB
chr5,149504273,149504410,PDGFRB
chr5,149504885,149505054,PDGFRB
chr5,149506122,149506236,PDGFRB
chr5,149509997,149510119,PDGFRB
chr5,149512330,149512442,PDGFRB
chr5,149513499,149513579,PDGFRB
chr5,149515059,149515186,PDGFRB
chr5,149516567,149516659,PDGFRB
chr5,176516567,176516695,FGFR4
chr5,176517514,176517647,FGFR4
chr5,176517989,176518098,FGFR4
chr5,176519308,176519442,FGFR4
chr5,176520114,176520249,FGFR4
chr5,176520352,176520450,FGFR4
chr5,176522242,176522375,FGFR4
chr5,176522341,176522475,FGFR4
chr5,176522491,176522626,FGFR4
chr5,176523268,176523400,FGFR4
chr5,176524308,176524448,FGFR4
chr6,26031985,26032107,HIST1H3B
chr6,26032180,26032273,HIST1H3B
chr6,41903565,41903686,CCND3
chr6,41903680,41903809,CCND3
chr6,41904272,41904398,CCND3
chr6,41904315,41904444,CCND3
chr6,41905009,41905131,CCND3
chr6,41905078,41905194,CCND3
chr6,41908157,41908289,CCND3
chr6,41908188,41908329,CCND3
chr6,41909093,41909230,CCND3
chr6,41909230,41909369,CCND3
chr6,117622075,117622150,ROS1
chr6,117622143,117622264,ROS1
chr6,117622263,117622345,ROS1
chr6,117629927,117629997,ROS1
chr6,117629979,117630088,ROS1
chr6,117630079,117630148,ROS1
chr6,117631242,117631362,ROS1
chr6,117631299,117631404,ROS1
chr6,117631403,117631488,ROS1
chr6,117632180,117632268,ROS1
chr6,117632238,117632354,ROS1
chr6,117638301,117638420,ROS1
chr6,117638417,117638491,ROS1
chr6,117639334,117639428,ROS1
chr6,117640996,117641066,ROS1
chr6,117641057,117641179,ROS1
chr6,117641174,117641246,ROS1
chr6,152129032,152129171,ESR1
chr6,152129204,152129343,ESR1
chr6,152163830,152163936,ESR1
chr6,152201840,152201964,ESR1
chr6,152265351,152265448,ESR1
chr6,152265444,152265566,ESR1
chr6,152332793,152332911,ESR1
chr6,152332872,152333001,ESR1
chr6,152415486,152415595,ESR1
chr6,152415593,152415718,ESR1
chr6,152419909,152420035,ESR1
chr7,6012922,6013056,PMS2
chr7,6018324,6018460,PMS2
chr7,6022346,6022483,PMS2
chr7,6022589,6022712,PMS2
chr7,6026425,6026566,PMS2
chr7,6026529,6026607,PMS2
chr7,6026602,6026731,PMS2
chr7,6026702,6026789,PMS2
chr7,6026768,6026911,PMS2
chr7,6026902,6026988,PMS2
chr7,6026939,6027077,PMS2
chr7,6027029,6027116,PMS2
chr7,6027116,6027250,PMS2
chr7,6027151,6027260,PMS2
chr7,6029421,6029513,PMS2
chr7,6029495,6029566,PMS2
chr7,6029553,6029638,PMS2
chr7,6031589,6031704,PMS2
chr7,6035149,6035266,PMS2
chr7,6035232,6035306,PMS2
chr7,6036943,6037037,PMS2
chr7,6036956,6037075,PMS2
chr7,6038702,6038811,PMS2
chr7,6038781,6038863,PMS2
chr7,6038853,6038953,PMS2
chr7,6042126,6042266,PMS2
chr7,6042219,6042295,PMS2
chr7,6043282,6043352,PMS2
chr7,6043335,6043455,PMS2
chr7,6043556,6043657,PMS2
chr7,6043609,6043709,PMS2
chr7,6045479,6045583,PMS2
chr7,6045597,6045726,PMS2
chr7,6048582,6048676,PMS2
chr7,6426861,6426973,RAC1
chr7,55211009,55211132,EGFR
chr7,55221797,55221919,EGFR
chr7,55227887,55228014,EGFR
chr7,55232995,55233125,EGFR
chr7,55241606,55241732,EGFR
chr7,55241706,55241800,EGFR
chr7,55242409,55242510,EGFR
chr7,55242479,55242555,EGFR
chr7,55248973,55249104,EGFR
chr7,55249122,55249245,EGFR
chr7,55259383,55259462,EGFR
chr7,55259416,55259545,EGFR
chr7,55259508,55259622,EGFR
chr7,55260433,55260545,EGFR
chr7,55266408,55266530,EGFR
chr7,55266530,55266650,EGFR
chr7,55267990,55268091,EGFR
chr7,92244371,92244492,CDK6
chr7,92244574,92244696,CDK6
chr7,92247386,92247512,CDK6
chr7,92252290,92252386,CDK6
chr7,92300711,92300838,CDK6
chr7,92354939,92355070,CDK6
chr7,92403961,92404068,CDK6
chr7,92404122,92404245,CDK6
chr7,92462415,92462550,CDK6
chr7,92462486,92462618,CDK6
chr7,116339591,116339712,MET
chr7,116339788,116339908,MET
chr7,116339997,116340130,MET
chr7,116340168,116340288,MET
chr7,116411805,116411928,MET
chr7,116411970,116412091,MET
chr7,116414905,116415014,MET
chr7,116414999,116415125,MET
chr7,116415058,116415171,MET
chr7,116417424,116417546,MET
chr7,116418764,116418862,MET
chr7,116418861,116418948,MET
chr7,116418907,116419015,MET
chr7,116422039,116422151,MET
chr7,116423283,116423368,MET
chr7,116423368,116423493,MET
chr7,116423457,116423527,MET
chr7,116435706,116435786,MET
chr7,116435720,116435840,MET
chr7,116435834,116435908,MET
chr7,116435928,116436051,MET
chr7,128845063,128845188,SMO
chr7,128845492,128845622,SMO
chr7,128845957,128846063,SMO
chr7,128846035,128846132,SMO
chr7,128846355,128846446,SMO
chr7,128850269,128850363,SMO
chr7,128850329,128850445,SMO
chr7,128851499,128851612,SMO
chr7,140434534,140434653,BRAF
chr7,140439604,140439725,BRAF
chr7,140439717,140439788,BRAF
chr7,140449056,140449162,BRAF
chr7,140449100,140449212,BRAF
chr7,140449212,140449276,BRAF
chr7,140453055,140453126,BRAF
chr7,140453099,140453220,BRAF
chr7,140453975,140454045,BRAF
chr7,140476674,140476788,BRAF
chr7,140476788,140476862,BRAF
chr7,140476826,140476900,BRAF
chr7,140477726,140477798,BRAF
chr7,140477796,140477875,BRAF
chr7,140481364,140481457,BRAF
chr7,140481392,140481513,BRAF
chr7,148506387,148506497,EZH2
chr7,148508631,148508747,EZH2
chr7,151187998,151188120,RHEB
chr8,38271113,38271251,FGFR1
chr8,38271598,38271723,FGFR1
chr8,38272265,38272344,FGFR1
chr8,38274785,38274903,FGFR1
chr8,38274900,38274991,FGFR1
chr8,38276987,38277107,FGFR1
chr8,38279326,38279457,FGFR1
chr8,38281751,38281877,FGFR1
chr8,38283615,38283730,FGFR1
chr8,38285850,38285975,FGFR1
chr8,38297813,38297924,FGFR1
chr8,90947803,90947906,NBN
chr8,90949243,90949315,NBN
chr8,90955462,90955557,NBN
chr8,90955557,90955668,NBN
chr8,90958313,90958429,NBN
chr8,90958365,90958487,NBN
chr8,90958479,90958554,NBN
chr8,90960022,90960142,NBN
chr8,90965444,90965562,NBN
chr8,90965562,90965674,NBN
chr8,90965655,90965777,NBN
chr8,90965719,90965828,NBN
chr8,90965819,90965938,NBN
chr8,90967430,90967514,NBN
chr8,90967506,90967612,NBN
chr8,90967589,90967687,NBN
chr8,90967662,90967777,NBN
chr8,90967751,90967823,NBN
chr8,90970896,90970969,NBN
chr8,90970968,90971089,NBN
chr8,90976611,90976709,NBN
chr8,90976709,90976823,NBN
chr8,90982521,90982611,NBN
chr8,90982606,90982724,NBN
chr8,90982690,90982769,NBN
chr8,90982764,90982835,NBN
chr8,90983342,90983452,NBN
chr8,90983409,90983504,NBN
chr8,90983504,90983571,NBN
chr8,90990425,90990535,NBN
chr8,90990535,90990622,NBN
chr8,90992925,90992994,NBN
chr8,90992970,90993061,NBN
chr8,90993037,90993150,NBN
chr8,90993572,90993647,NBN
chr8,90993623,90993746,NBN
chr8,90993713,90993779,NBN
chr8,90994890,90994975,NBN
chr8,90994973,90995047,NBN
chr8,90995013,90995113,NBN
chr8,90996722,90996815,NBN
chr8,128748723,128748852,MYC
chr8,128748849,128748969,MYC
chr8,128750477,128750614,MYC
chr8,128750592,128750723,MYC
chr8,128750755,128750854,MYC
chr8,128750883,128751018,MYC
chr8,128751050,128751141,MYC
chr8,128752549,128752671,MYC
chr8,128752729,128752857,MYC
chr8,128752895,128753024,MYC
chr8,128753077,128753198,MYC
chr9,5073721,5073843,JAK2
chr9,21968185,21968268,CDKN2A
chr9,21968688,21968817,CDKN2A
chr9,21970847,21970929,CDKN2A
chr9,21970940,21971066,CDKN2A
chr9,21971090,21971219,CDKN2A
chr9,21974449,21974575,CDKN2A
chr9,21974575,21974661,CDKN2A
chr9,21974606,21974743,CDKN2A
chr9,21974707,21974791,CDKN2A
chr9,21974787,21974896,CDKN2A
chr9,21994070,21994176,CDKN2A
chr9,21994162,21994295,CDKN2A
chr9,21994274,21994389,CDKN2A
chr9,22005843,22005940,CDKN2B
chr9,22005924,22006010,CDKN2B
chr9,22005990,22006118,CDKN2B
chr9,22006054,22006159,CDKN2B
chr9,22006148,22006286,CDKN2B
chr9,22006259,22006373,CDKN2B
chr9,22008584,22008686,CDKN2B
chr9,22008710,22008823,CDKN2B
chr9,22008726,22008856,CDKN2B
chr9,22008850,22008979,CDKN2B
chr9,80409443,80409558,GNAQ
chr9,80412432,80412552,GNAQ
chr9,80537100,80537220,GNAQ
chr9,87285661,87285792,NTRK2
chr9,87317234,87317356,NTRK2
chr9,87338494,87338620,NTRK2
chr9,87342596,87342721,NTRK2
chr9,87342703,87342813,NTRK2
chr9,87366872,87366990,NTRK2
chr9,87366906,87367023,NTRK2
chr9,87482183,87482305,NTRK2
chr9,87549181,87549301,NTRK2
chr9,87563414,87563534,NTRK2
chr9,87570282,87570427,NTRK2
chr9,87635106,87635216,NTRK2
chr9,98209088,98209221,PTCH1
chr9,98209210,98209304,PTCH1
chr9,98209293,98209418,PTCH1
chr9,98209409,98209537,PTCH1
chr9,98209506,98209601,PTCH1
chr9,98209590,98209723,PTCH1
chr9,98209712,98209806,PTCH1
chr9,98211243,98211371,PTCH1
chr9,98211360,98211493,PTCH1
chr9,98211482,98211603,PTCH1
chr9,98211593,98211678,PTCH1
chr9,98212053,98212173,PTCH1
chr9,98212152,98212229,PTCH1
chr9,98215750,98215883,PTCH1
chr9,98215783,98215908,PTCH1
chr9,98218551,98218659,PTCH1
chr9,98218648,98218773,PTCH1
chr9,98220270,98220394,PTCH1
chr9,98220374,98220495,PTCH1
chr9,98220484,98220609,PTCH1
chr9,98221786,98221916,PTCH1
chr9,98221910,98222040,PTCH1
chr9,98222034,98222147,PTCH1
chr9,98224045,98224174,PTCH1
chr9,98224163,98224259,PTCH1
chr9,98224232,98224305,PTCH1
chr9,98229348,98229470,PTCH1
chr9,98229455,98229528,PTCH1
chr9,98229519,98229645,PTCH1
chr9,98229632,98229748,PTCH1
chr9,98230968,98231045,PTCH1
chr9,98231034,98231146,PTCH1
chr9,98231141,98231275,PTCH1
chr9,98231264,98231393,PTCH1
chr9,98231382,98231478,PTCH1
chr9,98232020,98232108,PTCH1
chr9,98232096,98232185,PTCH1
chr9,98232174,98232257,PTCH1
chr9,98238245,98238379,PTCH1
chr9,98238356,98238488,PTCH1
chr9,98238948,98239052,PTCH1
chr9,98239041,98239123,PTCH1
chr9,98239115,98239192,PTCH1
chr9,98239807,98239893,PTCH1
chr9,98239881,98240009,PTCH1
chr9,98240306,98240421,PTCH1
chr9,98240402,98240495,PTCH1
chr9,98241253,98241376,PTCH1
chr9,98241365,98241458,PTCH1
chr9,98242231,98242341,PTCH1
chr9,98242330,98242450,PTCH1
chr9,98242585,98242710,PTCH1
chr9,98242692,98242791,PTCH1
chr9,98242780,98242895,PTCH1
chr9,98244191,98244278,PTCH1
chr9,98244269,98244349,PTCH1
chr9,98244397,98244497,PTCH1
chr9,98247952,98248076,PTCH1
chr9,98248066,98248182,PTCH1
chr9,98268628,98268715,PTCH1
chr9,98268703,98268807,PTCH1
chr9,98268796,98268886,PTCH1
chr9,98270403,98270495,PTCH1
chr9,98270495,98270628,PTCH1
chr9,98270553,98270669,PTCH1
chr9,98278872,98278993,PTCH1
chr9,98278957,98279055,PTCH1
chr9,98279055,98279146,PTCH1
chr9,135771565,135771644,TSC1
chr9,135771633,135771752,TSC1
chr9,135771741,135771863,TSC1
chr9,135771852,135771963,TSC1
chr9,135771930,135772016,TSC1
chr9,135771997,135772081,TSC1
chr9,135772074,135772190,TSC1
chr9,135772537,135772661,TSC1
chr9,135772651,135772759,TSC1
chr9,135772766,135772879,TSC1
chr9,135772868,135772961,TSC1
chr9,135772925,135773044,TSC1
chr9,135776030,135776130,TSC1
chr9,135776127,135776252,TSC1
chr9,135776901,135777021,TSC1
chr9,135777001,135777121,TSC1
chr9,135777911,135778010,TSC1
chr9,135778006,135778082,TSC1
chr9,135778077,135778175,TSC1
chr9,135778164,135778234,TSC1
chr9,135778995,135779118,TSC1
chr9,135779091,135779179,TSC1
chr9,135779164,135779239,TSC1
chr9,135779792,135779890,TSC1
chr9,135780921,135781037,TSC1
chr9,135781026,135781128,TSC1
chr9,135781117,135781230,TSC1
chr9,135781219,135781338,TSC1
chr9,135781327,135781452,TSC1
chr9,135781440,135781563,TSC1
chr9,135782110,135782227,TSC1
chr9,135782661,135782783,TSC1
chr9,135785897,135785987,TSC1
chr9,135785955,135786084,TSC1
chr9,135786299,135786419,TSC1
chr9,135786411,135786531,TSC1
chr9,135786770,135786866,TSC1
chr9,135786861,135786981,TSC1
chr9,135787641,135787733,TSC1
chr9,135787697,135787796,TSC1
chr9,135787785,135787896,TSC1
chr9,135796655,135796776,TSC1
chr9,135796765,135796854,TSC1
chr9,135797168,135797281,TSC1
chr9,135797268,135797386,TSC1
chr9,135798663,135798760,TSC1
chr9,135798744,135798819,TSC1
chr9,135798808,135798926,TSC1
chr9,135800912,135800997,TSC1
chr9,135800984,135801059,TSC1
chr9,135801049,135801128,TSC1
chr9,135801117,135801193,TSC1
chr9,135802553,135802677,TSC1
chr9,135802666,135802737,TSC1
chr9,135804110,135804237,TSC1
chr9,135804193,135804300,TSC1
chr9,139390440,139390556,NOTCH1
chr9,139390543,139390631,NOTCH1
chr9,139390617,139390703,NOTCH1
chr9,139390692,139390778,NOTCH1
chr9,139390764,139390885,NOTCH1
chr9,139390867,139391001,NOTCH1
chr9,139390990,139391124,NOTCH1
chr9,139391111,139391236,NOTCH1
chr9,139391233,139391369,NOTCH1
chr9,139391311,139391446,NOTCH1
chr9,139391398,139391522,NOTCH1
chr9,139391500,139391588,NOTCH1
chr9,139391562,139391675,NOTCH1
chr9,139391664,139391756,NOTCH1
chr9,139391734,139391844,NOTCH1
chr9,139391844,139391948,NOTCH1
chr9,139391937,139392068,NOTCH1
chr9,139393299,139393389,NOTCH1
chr9,139393372,139393451,NOTCH1
chr9,139393470,139393597,NOTCH1
chr9,139393578,139393693,NOTCH1
chr9,139393661,139393748,NOTCH1
chr9,139394931,139395055,NOTCH1
chr9,139395030,139395120,NOTCH1
chr9,139395108,139395205,NOTCH1
chr9,139395197,139395311,NOTCH1
chr9,139396096,139396232,NOTCH1
chr9,139396229,139396357,NOTCH1
chr9,139396343,139396448,NOTCH1
chr9,139396451,139396546,NOTCH1
chr9,139396684,139396770,NOTCH1
chr9,139396751,139396900,NOTCH1
chr9,139396824,139396961,NOTCH1
chr9,139397619,139397744,NOTCH1
chr9,139397762,139397879,NOTCH1
chr9,139398996,139399133,NOTCH1
chr9,139399123,139399242,NOTCH1
chr9,139399232,139399349,NOTCH1
chr9,139399312,139399450,NOTCH1
chr9,139399450,139399569,NOTCH1
chr9,139399729,139399840,NOTCH1
chr9,139399825,139399937,NOTCH1
chr9,139399919,139400050,NOTCH1
chr9,139400019,139400149,NOTCH1
chr9,139400139,139400255,NOTCH1
chr9,139400206,139400338,NOTCH1
chr9,139400938,139401070,NOTCH1
chr9,139401070,139401199,NOTCH1
chr9,139401196,139401334,NOTCH1
chr9,139401329,139401434,NOTCH1
chr9,139401671,139401777,NOTCH1
chr9,139401757,139401873,NOTCH1
chr9,139401862,139401995,NOTCH1
chr9,139402380,139402494,NOTCH1
chr9,139402483,139402606,NOTCH1
chr9,139402647,139402755,NOTCH1
chr9,139402690,139402816,NOTCH1
chr9,139402806,139402930,NOTCH1
chr9,139403302,139403409,NOTCH1
chr9,139403398,139403508,NOTCH1
chr9,139403497,139403584,NOTCH1
chr9,139404173,139404299,NOTCH1
chr9,139404288,139404418,NOTCH1
chr9,139405021,139405136,NOTCH1
chr9,139405135,139405269,NOTCH1
chr9,139405564,139405703,NOTCH1
chr9,139405658,139405767,NOTCH1
chr9,139407416,139407501,NOTCH1
chr9,139407479,139407598,NOTCH1
chr9,139407829,139407933,NOTCH1
chr9,139407914,139408013,NOTCH1
chr9,139408945,139409069,NOTCH1
chr9,139409032,139409155,NOTCH1
chr9,139409144,139409265,NOTCH1
chr9,139409697,139409788,NOTCH1
chr9,139409777,139409866,NOTCH1
chr9,139409885,139410015,NOTCH1
chr9,139409953,139410074,NOTCH1
chr9,139410059,139410192,NOTCH1
chr9,139410417,139410524,NOTCH1
chr9,139410513,139410622,NOTCH1
chr9,139411687,139411788,NOTCH1
chr9,139411781,139411895,NOTCH1
chr9,139412180,139412272,NOTCH1
chr9,139412257,139412349,NOTCH1
chr9,139412338,139412435,NOTCH1
chr9,139412479,139412598,NOTCH1
chr9,139412590,139412728,NOTCH1
chr9,139412726,139412864,NOTCH1
chr9,139412951,139413062,NOTCH1
chr9,139413055,139413154,NOTCH1
chr9,139413143,139413255,NOTCH1
chr9,139413243,139413335,NOTCH1
chr9,139413889,139413984,NOTCH1
chr9,139413974,139414084,NOTCH1
chr9,139417228,139417354,NOTCH1
chr9,139417315,139417427,NOTCH1
chr9,139417406,139417495,NOTCH1
chr9,139417484,139417578,NOTCH1
chr9,139417564,139417652,NOTCH1
chr9,139418095,139418204,NOTCH1
chr9,139418203,139418337,NOTCH1
chr9,139418324,139418442,NOTCH1
chr9,139438449,139438578,NOTCH1
chr10,43609069,43609167,RET
chr10,43609875,43610009,RET
chr10,43611940,43612047,RET
chr10,43612040,43612171,RET
chr10,43612167,43612254,RET
